function,status,duration_ms,upstream_ms
mobilenet,200,21,20
mobilenet,200,21,19
mobilenet,200,20,19
mobilenet,200,27,25
resnet,200,133,131
resnet,200,125,124
mobilenet,200,23,21
resnet,200,125,123
resnet,200,125,124
resnet,200,124,122
mobilenet,200,23,21
mobilenet,200,22,20
mobilenet,200,22,20
mobilenet,200,22,20
mobilenet,200,31,29
mobilenet,200,27,25
mobilenet,200,60,59
resnet,200,213,212
resnet,200,146,144
mobilenet,200,22,20
resnet,200,145,143
resnet,200,123,121
resnet,200,141,139
mobilenet,200,22,20
mobilenet,200,20,19
resnet,200,143,142
resnet,200,124,123
mobilenet,200,22,20
mobilenet,200,27,25
resnet,200,125,123
mobilenet,200,20,19
resnet,200,124,122
resnet,200,123,121
mobilenet,200,21,20
resnet,200,144,143
resnet,200,123,121
resnet,200,149,147
resnet,200,125,123
resnet,200,213,211
mobilenet,200,27,25
resnet,200,130,128
resnet,200,244,243
resnet,200,166,165
mobilenet,200,22,20
mobilenet,200,23,21
resnet,200,161,160
mobilenet,200,21,20
mobilenet,200,30,28
resnet,200,141,140
mobilenet,200,22,20
resnet,200,164,163
resnet,200,128,126
resnet,200,143,141
mobilenet,200,30,28
mobilenet,200,21,19
resnet,200,134,132
resnet,200,125,124
mobilenet,200,21,20
mobilenet,200,22,20
mobilenet,200,21,19
mobilenet,200,21,20
resnet,200,132,130
mobilenet,200,26,24
resnet,200,128,127
mobilenet,200,27,24
resnet,200,291,289
resnet,200,153,152
resnet,200,224,222
mobilenet,200,27,25
mobilenet,200,26,24
mobilenet,200,34,33
mobilenet,200,22,20
resnet,200,128,126
resnet,200,132,130
resnet,200,129,127
resnet,200,133,131
resnet,200,123,122
resnet,200,173,171
resnet,200,143,142
resnet,200,124,122
resnet,200,123,121
resnet,200,124,122
resnet,200,124,123
mobilenet,200,27,25
resnet,200,133,131
resnet,200,128,127
resnet,200,125,123
resnet,200,124,123
resnet,200,126,124
mobilenet,200,32,30
mobilenet,200,39,37
resnet,200,232,230
resnet,200,123,122
resnet,200,193,191
mobilenet,200,37,35
mobilenet,200,21,19
resnet,200,181,179
resnet,200,138,136
resnet,200,124,122
mobilenet,200,35,34
resnet,200,184,182
resnet,200,132,130
mobilenet,200,25,22
mobilenet,200,20,19
resnet,200,125,123
mobilenet,200,26,25
mobilenet,200,21,19
mobilenet,200,22,20
mobilenet,200,22,19
resnet,200,124,123
mobilenet,200,21,19
mobilenet,200,32,30
resnet,200,136,135
resnet,200,193,192
mobilenet,200,21,19
resnet,200,200,198
mobilenet,200,32,30
mobilenet,200,29,27
resnet,200,180,178
mobilenet,200,21,19
mobilenet,200,22,20
resnet,200,164,162
resnet,200,139,137
resnet,200,128,126
mobilenet,200,33,31
resnet,200,124,123
mobilenet,200,21,20
resnet,200,150,149
resnet,200,125,124
resnet,200,125,123
resnet,200,125,124
resnet,200,124,122
resnet,200,124,123
mobilenet,200,41,40
resnet,200,131,129
resnet,200,163,161
resnet,200,123,122
resnet,200,210,208
resnet,200,228,226
mobilenet,200,21,20
mobilenet,200,33,31
resnet,200,175,173
mobilenet,200,32,31
resnet,200,144,142
mobilenet,200,23,21
resnet,200,127,126
mobilenet,200,21,19
mobilenet,200,22,20
mobilenet,200,21,20
resnet,200,140,138
resnet,200,122,121
mobilenet,200,21,19
resnet,200,149,148
resnet,200,126,124
mobilenet,200,21,19
resnet,200,124,122
resnet,200,123,121
resnet,200,134,133
resnet,200,124,122
resnet,200,149,148
resnet,200,279,277
mobilenet,200,27,25
resnet,200,197,194
resnet,200,183,181
resnet,200,125,123
resnet,200,141,139
mobilenet,200,25,23
resnet,200,123,121
resnet,200,167,165
resnet,200,140,139
resnet,200,124,122
mobilenet,200,21,19
mobilenet,200,22,20
resnet,200,127,125
mobilenet,200,26,25
mobilenet,200,22,20
resnet,200,126,124
resnet,200,126,124
resnet,200,128,126
mobilenet,200,24,23
mobilenet,200,29,27
resnet,200,138,136
mobilenet,200,28,26
mobilenet,200,21,19
resnet,200,194,192
resnet,200,216,215
mobilenet,200,27,25
mobilenet,200,33,32
resnet,200,145,143
mobilenet,200,21,20
resnet,200,143,141
resnet,200,141,140
mobilenet,200,22,20
mobilenet,200,32,31
resnet,200,124,123
resnet,200,124,122
resnet,200,125,124
mobilenet,200,22,21
resnet,200,124,122
mobilenet,200,38,36
mobilenet,200,21,19
resnet,200,132,130
mobilenet,200,21,19
mobilenet,200,21,20
mobilenet,200,35,34
mobilenet,200,27,25
resnet,200,241,239
mobilenet,200,33,31
mobilenet,200,20,19
resnet,200,212,211
mobilenet,200,26,24
mobilenet,200,25,23
mobilenet,200,35,33
mobilenet,200,22,20
resnet,200,123,121
mobilenet,200,21,20
mobilenet,200,21,19
resnet,200,122,121
mobilenet,200,27,25
mobilenet,200,21,20
resnet,200,130,128
mobilenet,200,22,21
mobilenet,200,22,20
mobilenet,200,21,20
resnet,200,151,149
mobilenet,200,26,24
resnet,200,124,122
resnet,200,124,122
mobilenet,200,29,27
resnet,200,227,225
mobilenet,200,26,24
mobilenet,200,36,34
mobilenet,200,22,20
resnet,200,133,131
resnet,200,158,156
resnet,200,150,148
mobilenet,200,21,20
mobilenet,200,31,29
resnet,200,170,168
resnet,200,127,125
resnet,200,169,167
resnet,200,131,130
mobilenet,200,21,19
resnet,200,124,123
resnet,200,124,123
mobilenet,200,21,19
resnet,200,138,136
mobilenet,200,21,19
mobilenet,200,22,20
mobilenet,200,30,28
resnet,200,132,131
mobilenet,200,34,32
resnet,200,140,138
mobilenet,200,30,28
resnet,200,225,223
resnet,200,124,122
mobilenet,200,28,26
resnet,200,168,167
mobilenet,200,21,19
mobilenet,200,22,20
resnet,200,136,135
mobilenet,200,20,19
resnet,200,156,155
resnet,200,142,140
mobilenet,200,23,21
mobilenet,200,21,19
resnet,200,125,124
mobilenet,200,45,42
resnet,200,151,149
resnet,200,124,122
mobilenet,200,21,19
resnet,200,124,122
mobilenet,200,21,19
mobilenet,200,21,19
mobilenet,200,26,25
resnet,200,251,250
resnet,200,216,215
resnet,200,125,124
resnet,200,217,215
mobilenet,200,25,23
mobilenet,200,26,24
mobilenet,200,29,28
mobilenet,200,21,19
resnet,200,128,127
resnet,200,136,135
resnet,200,141,139
resnet,200,125,123
mobilenet,200,26,24
resnet,200,124,122
resnet,200,126,125
resnet,200,125,124
resnet,200,142,140
mobilenet,200,23,21
mobilenet,200,26,25
mobilenet,200,41,39
mobilenet,200,21,19
resnet,200,124,122
resnet,200,139,137
mobilenet,200,24,22
resnet,200,140,138
mobilenet,200,42,41
mobilenet,200,21,19
resnet,200,125,123
resnet,200,169,167
mobilenet,200,33,31
mobilenet,200,21,19
mobilenet,200,31,29
resnet,200,141,139
resnet,200,123,122
resnet,200,141,140
mobilenet,200,20,19
mobilenet,200,22,21
mobilenet,200,26,25
resnet,200,124,122
resnet,200,123,121
resnet,200,148,147
mobilenet,200,21,20
resnet,200,124,123
mobilenet,200,31,29
resnet,200,124,122
resnet,200,219,217
resnet,200,123,121
mobilenet,200,26,24
mobilenet,200,30,29
mobilenet,200,26,24
resnet,200,290,288
mobilenet,200,25,23
mobilenet,200,21,20
resnet,200,148,146
mobilenet,200,21,19
mobilenet,200,21,19
mobilenet,200,40,38
resnet,200,136,134
resnet,200,123,121
resnet,200,131,130
resnet,200,131,129
resnet,200,132,130
resnet,200,148,147
resnet,200,123,121
mobilenet,200,28,27
mobilenet,200,21,19
resnet,200,138,136
mobilenet,200,20,19
resnet,200,147,146
mobilenet,200,29,27
mobilenet,200,26,25
resnet,200,123,122
mobilenet,200,30,28
mobilenet,200,27,25
resnet,200,124,122
mobilenet,200,29,28
resnet,200,129,128
resnet,200,124,122
mobilenet,200,22,20
mobilenet,200,22,20
mobilenet,200,21,20
resnet,200,145,140
mobilenet,200,20,19
resnet,200,125,123
resnet,200,142,140
resnet,200,124,123
mobilenet,200,21,19
resnet,200,125,123
resnet,200,125,124
resnet,200,139,138
resnet,200,124,122
mobilenet,200,24,23
mobilenet,200,25,23
mobilenet,200,26,25
resnet,200,192,190
resnet,200,211,209
mobilenet,200,23,22
resnet,200,172,170
resnet,200,145,143
mobilenet,200,21,20
resnet,200,170,168
resnet,200,152,151
resnet,200,124,122
mobilenet,200,21,19
resnet,200,123,121
mobilenet,200,38,36
mobilenet,200,26,24
mobilenet,200,21,19
mobilenet,200,24,22
mobilenet,200,23,21
resnet,200,123,121
mobilenet,200,22,20
resnet,200,148,148
mobilenet,200,22,20
mobilenet,200,25,24
resnet,200,124,122
resnet,200,197,194
mobilenet,200,29,25
resnet,200,148,147
resnet,200,245,243
mobilenet,200,23,21
resnet,200,125,123
resnet,200,145,143
resnet,200,147,146
resnet,200,124,123
resnet,200,139,137
mobilenet,200,26,25
mobilenet,200,22,21
mobilenet,200,21,19
resnet,200,124,122
mobilenet,200,24,22
mobilenet,200,26,24
mobilenet,200,21,19
resnet,200,123,122
mobilenet,200,21,19
mobilenet,200,20,19
resnet,200,125,123
mobilenet,200,27,25
mobilenet,200,26,24
resnet,200,259,257
resnet,200,152,150
resnet,200,205,203
mobilenet,200,22,20
mobilenet,200,26,24
resnet,200,148,146
mobilenet,200,30,28
resnet,200,130,128
mobilenet,200,21,20
resnet,200,147,145
mobilenet,200,20,19
mobilenet,200,27,26
mobilenet,200,21,19
resnet,200,131,130
resnet,200,124,122
resnet,200,123,121
mobilenet,200,21,19
resnet,200,150,148
resnet,200,123,122
mobilenet,200,21,19
mobilenet,200,21,19
mobilenet,200,31,29
mobilenet,200,25,23
resnet,200,148,146
resnet,200,196,194
resnet,200,246,244
mobilenet,200,21,19
resnet,200,221,219
mobilenet,200,21,19
resnet,200,132,130
resnet,200,157,155
resnet,200,157,155
mobilenet,200,22,21
mobilenet,200,26,24
mobilenet,200,21,19
mobilenet,200,21,19
resnet,200,145,143
mobilenet,200,20,19
resnet,200,124,122
mobilenet,200,22,19
resnet,200,123,121
resnet,200,123,121
mobilenet,200,25,23
mobilenet,200,23,21
resnet,200,184,182
resnet,200,157,155
mobilenet,200,26,24
mobilenet,200,49,47
resnet,200,123,122
resnet,200,225,223
resnet,200,159,157
mobilenet,200,22,21
mobilenet,200,23,21
resnet,200,130,129
resnet,200,124,121
mobilenet,200,30,28
resnet,200,144,142
resnet,200,133,132
resnet,200,124,122
resnet,200,124,123
resnet,200,130,128
resnet,200,162,160
resnet,200,130,128
resnet,200,124,122
mobilenet,200,21,20
resnet,200,123,121
mobilenet,200,34,33
resnet,200,144,143
resnet,200,165,163
resnet,200,215,213
resnet,200,124,122
resnet,200,198,196
resnet,200,253,251
resnet,200,123,122
resnet,200,141,140
mobilenet,200,28,26
resnet,200,124,123
mobilenet,200,21,19
mobilenet,200,22,20
resnet,200,133,131
mobilenet,200,27,25
mobilenet,200,21,19
resnet,200,124,122
resnet,200,150,148
mobilenet,200,21,19
mobilenet,200,21,19
resnet,200,123,121
resnet,200,123,121
mobilenet,200,21,19
mobilenet,200,21,20
resnet,200,123,122
resnet,200,224,222
resnet,200,123,121
mobilenet,200,76,75
mobilenet,200,26,24
resnet,200,149,148
mobilenet,200,26,24
resnet,200,174,172
resnet,200,124,122
resnet,200,138,136
resnet,200,142,140
mobilenet,200,21,20
mobilenet,200,21,19
mobilenet,200,20,19
resnet,200,125,124
resnet,200,123,122
resnet,200,124,122
mobilenet,200,23,21
resnet,200,137,135
mobilenet,200,22,21
mobilenet,200,25,23
mobilenet,200,30,28
mobilenet,200,21,20
mobilenet,200,26,25
mobilenet,200,22,21
resnet,200,215,213
mobilenet,200,53,51
mobilenet,200,26,25
resnet,200,377,375
resnet,200,158,156
resnet,200,135,133
mobilenet,200,29,28
resnet,200,129,127
mobilenet,200,70,68
resnet,200,152,151
resnet,200,143,141
mobilenet,200,20,19
resnet,200,138,137
mobilenet,200,23,21
mobilenet,200,21,19
mobilenet,200,29,28
resnet,200,124,123
mobilenet,200,22,20
resnet,200,125,123
resnet,200,123,122
resnet,200,142,140
resnet,200,149,148
mobilenet,200,24,22
mobilenet,200,60,58
mobilenet,200,21,19
resnet,200,200,197
mobilenet,200,22,20
mobilenet,200,29,27
resnet,200,148,146
mobilenet,200,30,28
resnet,200,141,140
mobilenet,200,21,19
resnet,200,144,142
resnet,200,123,121
mobilenet,200,31,29
resnet,200,123,121
resnet,200,130,128
mobilenet,200,26,24
resnet,200,124,122
resnet,200,127,125
mobilenet,200,31,29
mobilenet,200,20,19
resnet,200,139,137
resnet,200,153,151
mobilenet,200,22,20
mobilenet,200,27,25
mobilenet,200,32,31
mobilenet,200,34,33
resnet,200,231,229
mobilenet,200,22,21
mobilenet,200,22,21
resnet,200,153,151
resnet,200,133,131
mobilenet,200,33,32
resnet,200,132,130
mobilenet,200,22,21
resnet,200,140,138
resnet,200,123,122
mobilenet,200,21,19
resnet,200,147,146
resnet,200,128,126
mobilenet,200,21,19
resnet,200,123,121
mobilenet,200,22,21
resnet,200,124,123
resnet,200,137,135
mobilenet,200,21,19
resnet,200,154,152
resnet,200,124,122
resnet,200,194,192
resnet,200,221,219
resnet,200,125,123
mobilenet,200,42,40
resnet,200,146,145
resnet,200,124,122
resnet,200,144,143
resnet,200,131,129
mobilenet,200,22,20
mobilenet,200,26,25
resnet,200,151,149
resnet,200,124,122
mobilenet,200,21,20
resnet,200,124,122
mobilenet,200,21,19
mobilenet,200,31,29
resnet,200,123,122
resnet,200,132,131
mobilenet,200,21,19
resnet,200,123,121
resnet,200,122,121
resnet,200,123,121
resnet,200,132,130
resnet,200,222,220
resnet,200,153,151
mobilenet,200,24,22
resnet,200,243,241
mobilenet,200,26,24
resnet,200,192,191
mobilenet,200,22,21
resnet,200,125,123
mobilenet,200,21,19
mobilenet,200,22,20
resnet,200,136,135
resnet,200,145,144
mobilenet,200,22,20
mobilenet,200,21,20
mobilenet,200,21,19
resnet,200,124,122
mobilenet,200,21,19
mobilenet,200,27,26
resnet,200,124,122
mobilenet,200,21,19
mobilenet,200,25,24
mobilenet,200,22,20
resnet,200,208,207
resnet,200,149,147
resnet,200,212,210
mobilenet,200,30,28
resnet,200,133,131
resnet,200,181,179
resnet,200,153,152
resnet,200,124,122
mobilenet,200,26,25
resnet,200,132,131
resnet,200,125,123
mobilenet,200,25,23
resnet,200,130,128
resnet,200,124,123
resnet,200,125,123
mobilenet,200,30,28
resnet,200,124,122
resnet,200,151,149
resnet,200,126,125
resnet,200,125,123
mobilenet,200,26,25
resnet,200,124,122
resnet,200,124,122
resnet,200,148,146
mobilenet,200,54,53
resnet,200,221,219
resnet,200,125,123
mobilenet,200,65,63
mobilenet,200,28,27
mobilenet,200,22,20
mobilenet,200,23,22
mobilenet,200,22,20
mobilenet,200,22,20
resnet,200,147,146
resnet,200,139,138
mobilenet,200,20,19
mobilenet,200,22,21
resnet,200,126,124
mobilenet,200,21,20
resnet,200,140,138
mobilenet,200,22,21
mobilenet,200,26,24
mobilenet,200,21,19
resnet,200,123,122
mobilenet,200,29,28
resnet,200,148,147
resnet,200,130,129
mobilenet,200,25,23
mobilenet,200,26,23
resnet,200,183,182
resnet,200,215,214
resnet,200,124,122
mobilenet,200,25,23
resnet,200,135,134
resnet,200,128,127
resnet,200,145,144
mobilenet,200,30,28
resnet,200,124,123
mobilenet,200,30,29
resnet,200,124,122
resnet,200,124,122
resnet,200,150,149
mobilenet,200,26,24
mobilenet,200,22,20
resnet,200,125,124
mobilenet,200,22,20
resnet,200,129,127
resnet,200,154,153
resnet,200,132,131
mobilenet,200,30,28
resnet,200,130,128
mobilenet,200,30,28
mobilenet,200,34,32
resnet,200,150,148
resnet,200,249,247
resnet,200,145,143
mobilenet,200,26,24
resnet,200,149,147
mobilenet,200,23,22
mobilenet,200,23,21
mobilenet,200,34,33
resnet,200,140,139
resnet,200,124,122
mobilenet,200,33,31
mobilenet,200,22,21
resnet,200,132,131
resnet,200,123,122
mobilenet,200,23,22
mobilenet,200,21,19
mobilenet,200,29,27
resnet,200,134,132
resnet,200,148,147
mobilenet,200,21,19
resnet,200,200,198
resnet,200,254,252
resnet,200,149,147
resnet,200,222,220
mobilenet,200,25,23
resnet,200,133,131
resnet,200,149,146
mobilenet,200,22,21
resnet,200,124,123
mobilenet,200,33,31
mobilenet,200,23,21
resnet,200,122,121
mobilenet,200,21,20
mobilenet,200,23,21
resnet,200,125,123
resnet,200,126,125
mobilenet,200,23,21
resnet,200,125,123
resnet,200,151,149
resnet,200,124,123
mobilenet,200,46,44
mobilenet,200,32,30
resnet,200,139,137
mobilenet,200,31,29
resnet,200,150,148
mobilenet,200,33,31
mobilenet,200,29,27
mobilenet,200,27,26
resnet,200,150,149
resnet,200,144,142
resnet,200,126,125
mobilenet,200,21,19
resnet,200,144,142
resnet,200,126,125
mobilenet,200,27,26
resnet,200,125,123
mobilenet,200,22,20
mobilenet,200,27,25
mobilenet,200,21,20
mobilenet,200,21,19
mobilenet,200,26,25
mobilenet,200,21,19
resnet,200,125,124
mobilenet,200,23,21
mobilenet,200,43,42
resnet,200,212,210
resnet,200,150,148
resnet,200,195,193
resnet,200,212,210
mobilenet,200,26,24
resnet,200,212,210
mobilenet,200,21,20
mobilenet,200,20,19
resnet,200,145,143
resnet,200,130,128
resnet,200,125,123
resnet,200,134,133
resnet,200,141,139
resnet,200,124,122
mobilenet,200,27,25
resnet,200,129,127
resnet,200,126,124
mobilenet,200,21,19
mobilenet,200,29,27
mobilenet,200,23,21
resnet,200,123,121
mobilenet,200,21,19
mobilenet,200,27,26
mobilenet,200,21,19
mobilenet,200,23,21
resnet,200,257,255
mobilenet,200,41,39
resnet,200,204,203
mobilenet,200,31,29
mobilenet,200,33,31
mobilenet,200,28,27
mobilenet,200,21,19
resnet,200,128,126
mobilenet,200,26,24
mobilenet,200,23,21
resnet,200,130,128
mobilenet,200,23,21
mobilenet,200,22,20
resnet,200,125,123
resnet,200,124,122
resnet,200,125,123
resnet,200,128,127
resnet,200,152,150
mobilenet,200,21,19
resnet,200,133,132
mobilenet,200,27,26
resnet,200,150,148
mobilenet,200,30,28
mobilenet,200,21,19
mobilenet,200,30,28
resnet,200,281,279
resnet,200,128,127
mobilenet,200,29,27
resnet,200,146,144
resnet,200,139,137
mobilenet,200,29,27
resnet,200,152,150
resnet,200,126,124
resnet,200,141,139
mobilenet,200,25,24
resnet,200,128,126
mobilenet,200,21,19
resnet,200,129,128
mobilenet,200,22,20
mobilenet,200,30,28
mobilenet,200,22,20
resnet,200,131,129
mobilenet,200,22,21
mobilenet,200,21,19
mobilenet,200,23,21
resnet,200,151,150
mobilenet,200,34,32
resnet,200,241,239
resnet,200,123,122
mobilenet,200,26,25
resnet,200,177,175
mobilenet,200,22,20
resnet,200,142,141
resnet,200,133,131
resnet,200,125,123
mobilenet,200,21,19
mobilenet,200,21,19
mobilenet,200,21,19
resnet,200,130,128
resnet,200,124,123
mobilenet,200,21,19
resnet,200,151,150
mobilenet,200,21,20
mobilenet,200,21,19
mobilenet,200,38,36
mobilenet,200,21,20
resnet,200,134,132
resnet,200,150,148
resnet,200,154,153
mobilenet,200,32,31
mobilenet,200,27,26
resnet,200,211,209
resnet,200,168,166
mobilenet,200,33,31
mobilenet,200,22,21
mobilenet,200,25,24
resnet,200,125,123
mobilenet,200,26,25
resnet,200,143,141
mobilenet,200,20,19
resnet,200,145,143
mobilenet,200,21,19
mobilenet,200,20,19
resnet,200,150,148
resnet,200,126,125
mobilenet,200,22,20
resnet,200,133,131
resnet,200,129,127
mobilenet,200,22,20
mobilenet,200,26,25
resnet,200,158,156
mobilenet,200,28,26
mobilenet,200,21,19
resnet,200,198,196
resnet,200,206,204
mobilenet,200,37,36
resnet,200,233,231
resnet,200,150,148
resnet,200,126,124
resnet,200,136,134
mobilenet,200,25,23
resnet,200,124,122
resnet,200,161,159
mobilenet,200,20,19
resnet,200,125,124
resnet,200,124,122
mobilenet,200,21,19
resnet,200,139,138
resnet,200,123,122
mobilenet,200,21,20
resnet,200,126,125
resnet,200,125,124
mobilenet,200,21,19
mobilenet,200,30,28
resnet,200,125,123
resnet,200,217,215
mobilenet,200,24,22
resnet,200,124,122
mobilenet,200,34,32
resnet,200,142,141
mobilenet,200,25,24
resnet,200,148,146
mobilenet,200,21,20
mobilenet,200,21,19
mobilenet,200,22,21
resnet,200,154,152
mobilenet,200,22,20
resnet,200,130,129
resnet,200,126,124
mobilenet,200,65,63
resnet,200,148,146
resnet,200,125,123
resnet,200,125,123
resnet,200,123,121
mobilenet,200,21,19
resnet,200,140,139
mobilenet,200,22,21
mobilenet,200,22,20
resnet,200,201,199
resnet,200,125,124
resnet,200,213,211
resnet,200,216,214
resnet,200,140,139
mobilenet,200,24,22
resnet,200,143,141
mobilenet,200,26,24
resnet,200,133,131
resnet,200,193,192
resnet,200,124,123
resnet,200,149,148
mobilenet,200,21,19
resnet,200,123,122
resnet,200,123,122
mobilenet,200,21,20
mobilenet,200,22,20
mobilenet,200,21,20
mobilenet,200,20,19
resnet,200,124,122
mobilenet,200,26,25
resnet,200,124,122
mobilenet,200,25,23
resnet,200,125,124
resnet,200,205,204
resnet,200,211,209
mobilenet,200,27,25
resnet,200,185,184
mobilenet,200,21,19
resnet,200,137,136
resnet,200,140,139
resnet,200,130,128
mobilenet,200,22,21
mobilenet,200,34,32
mobilenet,200,21,20
resnet,200,123,121
mobilenet,200,22,20
resnet,200,124,122
resnet,200,123,122
mobilenet,200,26,24
resnet,200,124,123
mobilenet,200,30,28
resnet,200,124,122
resnet,200,130,128
mobilenet,200,58,56
mobilenet,200,33,31
mobilenet,200,28,27
resnet,200,213,211
mobilenet,200,21,20
mobilenet,200,32,31
resnet,200,146,144
resnet,200,146,145
resnet,200,143,142
resnet,200,137,135
resnet,200,123,121
resnet,200,134,133
mobilenet,200,21,20
mobilenet,200,20,19
mobilenet,200,30,28
resnet,200,126,124
mobilenet,200,21,19
mobilenet,200,21,20
mobilenet,200,23,22
mobilenet,200,21,19
mobilenet,200,27,25
resnet,200,123,122
mobilenet,200,21,20
mobilenet,200,21,20
resnet,200,151,149
mobilenet,200,28,26
mobilenet,200,31,29
resnet,200,213,212
mobilenet,200,26,25
mobilenet,200,21,19
resnet,200,189,187
mobilenet,200,23,21
mobilenet,200,22,20
mobilenet,200,26,25
resnet,200,145,144
resnet,200,125,123
resnet,200,179,177
resnet,200,125,123
resnet,200,124,122
resnet,200,123,121
resnet,200,123,122
mobilenet,200,30,28
resnet,200,146,144
mobilenet,200,23,22
resnet,200,128,127
mobilenet,200,30,29
mobilenet,200,29,28
mobilenet,200,27,25
resnet,200,147,145
mobilenet,200,43,41
mobilenet,200,43,41
